mexican_concentration,cos_fatigue,texian_casualties_mean,texian_casualties_std,texian_casualties_min,texian_casualties_max,mexican_casualties_mean,mexican_casualties_std,mexican_casualties_min,mexican_casualties_max,mexican_captured_mean,mexican_captured_std,mexican_captured_min,mexican_captured_max,cos_remaining_mean,cos_remaining_std,cos_remaining_min,cos_remaining_max,battle_duration_minutes_mean,battle_duration_minutes_std,battle_duration_minutes_min,battle_duration_minutes_max,texian_side_morale_mean,texian_side_morale_std,texian_side_morale_min,texian_side_morale_max,mexican_side_morale_mean,mexican_side_morale_std,mexican_side_morale_min,mexican_side_morale_max,texian_win_rate,runs
50,30,739.0,84.30895563343196,677.0,835.0,998.6666666666666,65.43189843901318,924.0,1046.0,204.33333333333334,65.01025560119983,155.0,278.0,41.666666666666664,4.932882862316248,36.0,45.0,34.03333333333333,6.061627944152733,29.1,40.8,95.53041696461283,2.570254872946669,92.97647263461111,98.11667763156623,4.2891407621876425,4.994659672969295,0.0,9.772734786562692,1.0,3
50,40,631.3333333333334,75.18200139217718,565.0,713.0,973.6666666666666,4.041451884327367,970.0,978.0,227.33333333333334,4.041451884327377,223.0,231.0,45.666666666666664,4.932882862316246,40.0,49.0,31.066666666666666,1.7214335111567125,29.1,32.3,97.35056972373825,0.6978935167601384,96.62205850754806,98.01316895360137,1.841041799281608,3.188777935213768,0.0,5.523125397844824,1.0,3
50,50,529.3333333333334,27.392213005402347,505.0,559.0,918.3333333333334,10.692676621563617,906.0,925.0,284.0,10.44030650891055,277.0,296.0,46.0,1.0,45.0,47.0,29.2,1.1135528725660047,28.2,30.4,97.50250162408281,1.0458293531181617,96.4556369803589,98.54729260285396,0.0,0.0,0.0,0.0,1.0,3
50,60,429.0,24.020824298928627,402.0,448.0,843.0,18.734993995195193,828.0,864.0,358.6666666666667,19.2959408512084,337.0,374.0,48.333333333333336,0.5773502691896263,48.0,49.0,27.866666666666664,0.5507570547286098,27.5,28.5,97.2284074699379,1.2540100787780308,96.29041107550763,98.65273982372013,0.0,0.0,0.0,0.0,1.0,3
50,70,382.0,8.18535277187245,373.0,389.0,747.3333333333334,9.712534856222323,739.0,758.0,454.0,10.14889156509222,443.0,463.0,47.333333333333336,1.5275252316519474,46.0,49.0,26.53333333333333,0.30550504633039144,26.2,26.8,95.07237049277644,0.550456025293649,94.65385382683613,95.69591699360774,0.0,0.0,0.0,0.0,1.0,3
50,80,371.6666666666667,41.10150037812893,345.0,419.0,728.0,18.520259177452136,709.0,746.0,473.3333333333333,18.03699901129157,456.0,492.0,46.666666666666664,2.5166114784235822,44.0,49.0,26.066666666666666,1.2013880860626744,24.9,27.3,95.8884389267367,0.17459751270202778,95.6920687111572,96.02616319570473,0.0,0.0,0.0,0.0,1.0,3
50,90,314.6666666666667,18.903262505010435,300.0,336.0,722.6666666666666,24.440403706431148,696.0,744.0,478.3333333333333,24.440403706431145,457.0,505.0,48.333333333333336,1.154700538379251,47.0,49.0,25.733333333333334,0.680685928555406,25.2,26.5,96.27656393726572,0.7792922117663558,95.38493971594116,96.82749996185922,0.0,0.0,0.0,0.0,1.0,3
50,100,372.0,64.50581369148055,317.0,443.0,725.0,3.0,722.0,728.0,477.0,4.58257569495584,473.0,482.0,47.333333333333336,1.5275252316519468,46.0,49.0,26.233333333333334,1.4011899704655808,25.1,27.8,96.9714738122323,0.3381367659216609,96.66031295494872,97.3313106070879,0.0,0.0,0.0,0.0,1.0,3
60,0,870.0,50.3189825016365,838.0,928.0,678.6666666666666,196.81548042096014,535.0,903.0,49.333333333333336,18.876793513023692,33.0,70.0,330.3333333333333,118.95097029168502,193.0,401.0,19.766666666666666,17.122013121515042,0.0,30.0,76.86154282453228,20.7871326954972,53.36746023549414,92.86604206655944,91.39695810805354,5.546759195706776,85.12533975347586,95.65821829984765,0.0,3
60,10,837.0,1.0,836.0,838.0,578.3333333333334,45.003703551300454,533.0,623.0,67.0,8.660254037844387,62.0,77.0,403.3333333333333,25.026652459594615,379.0,429.0,36.166666666666664,5.128677542342989,30.3,39.8,89.48672020928142,4.2405885220171795,86.47785865419283,94.33669356162524,93.30830380442156,2.286959140287363,91.25224270079968,95.77147952762591,0.0,3
60,20,840.3333333333334,71.59841711471933,771.0,914.0,968.0,229.7368059323538,703.0,1111.0,90.0,25.059928172283335,64.0,114.0,135.0,161.9660458244258,39.0,322.0,44.833333333333336,3.082747692130079,42.4,48.3,92.47932000866753,6.408277670749893,86.79734507454104,99.42547413999672,42.46808518705803,38.20346998159197,15.007518775908938,86.09724944056732,0.6666666666666666,3
60,30,837.0,0.0,837.0,837.0,590.3333333333334,15.50268793897799,579.0,608.0,38.666666666666664,16.19670748434179,20.0,49.0,395.0,32.14031735997639,358.0,416.0,30.53333333333333,2.77908857961263,28.5,33.7,91.11521553702521,5.53330264469492,86.26564595064293,97.14259582206869,82.12191964427417,3.2020316781352913,79.78837571270483,85.77242597736925,0.0,3
60,40,809.3333333333334,47.05670338361297,755.0,837.0,671.0,351.03845943144177,317.0,1019.0,84.33333333333333,86.43109008530051,22.0,183.0,259.6666666666667,203.17808280750492,39.0,439.0,31.2,7.670723564306042,23.0,38.2,85.86060551571215,12.164859438230245,71.82501873134956,93.36371619160496,48.9077769623695,34.67385983620295,8.869858302048966,68.94565593352476,0.3333333333333333,3
