run,mexican_concentration,cos_fatigue,texian_casualties,mexican_casualties,mexican_captured,cos_remaining,battle_duration_minutes,texian_side_morale,mexican_side_morale,texian_win
3,10,30,58.0,545.0,656.0,39.0,23.6,91.95655544565248,0.0,True
1,60,70,562.0,843.0,358.0,46.0,29.3,97.54767507889518,0.0,True
2,60,70,557.0,754.0,449.0,40.0,28.7,95.21246108178596,0.0,True
3,60,70,460.0,834.0,368.0,48.0,28.2,99.08945685095962,0.0,True
1,10,80,30.0,485.0,716.0,44.0,20.6,87.68856764606436,0.0,True
2,10,80,45.0,482.0,720.0,45.0,20.4,88.97581358690226,0.0,True
3,10,80,26.0,528.0,673.0,47.0,20.7,89.79587669122229,0.0,True
1,80,40,839.0,369.0,21.0,487.0,31.1,97.5023485593807,92.22464931001424,False
2,80,40,837.0,299.0,7.0,475.0,25.7,92.72412890635376,90.91011461451772,False
3,80,40,840.0,149.0,2.0,474.0,22.1,72.57020161428922,88.85388567719302,False
1,90,50,837.0,298.0,1.0,476.0,29.6,94.36670854803955,92.2446956291068,False
2,90,50,837.0,249.0,0.0,485.0,25.6,89.7263526521859,92.12606258524391,False
3,90,50,836.0,212.0,2.0,483.0,24.0,81.16735115322803,91.08306690354182,False
1,10,40,24.0,440.0,763.0,42.0,22.0,90.2641738217135,0.0,True
2,10,40,41.0,503.0,699.0,42.0,21.9,91.85537902644184,0.0,True
3,10,40,47.0,496.0,706.0,43.0,22.4,91.93139640732493,0.0,True
1,20,20,201.0,744.0,457.0,46.0,22.0,93.37017494875238,0.0,True
2,20,20,244.0,814.0,387.0,43.0,24.6,93.99744716402236,0.0,True
3,20,20,232.0,826.0,376.0,40.0,22.6,94.16857672163458,0.0,True
1,50,60,448.0,837.0,365.0,48.0,27.5,98.65273982372013,0.0,True
2,50,60,437.0,864.0,337.0,49.0,28.5,96.29041107550763,0.0,True
3,50,60,402.0,828.0,374.0,48.0,27.6,96.74207151058596,0.0,True
1,100,70,845.0,99.0,0.0,497.0,21.9,72.53432765743182,88.51653944649595,False
2,100,70,838.0,92.0,0.0,470.0,22.2,76.00018289176664,84.05177249981902,False
3,100,70,839.0,87.0,0.0,496.0,22.5,79.95202767138159,89.21219927619894,False
1,80,80,838.0,478.0,19.0,340.0,27.0,95.00674709851866,57.16009431418527,False
2,80,80,845.0,420.0,23.0,325.0,25.1,82.03707061396713,59.9219294313242,False
3,80,80,837.0,564.0,16.0,334.0,27.3,93.91898922867593,54.22965505794919,False
1,30,30,266.0,856.0,345.0,45.0,24.6,93.74614980498328,0.0,True
2,30,30,334.0,846.0,358.0,43.0,24.9,94.9156830587011,0.0,True
3,30,30,319.0,884.0,318.0,43.0,24.4,94.7004425529622,0.0,True
1,10,0,156.0,756.0,447.0,39.0,21.7,90.9843069629626,0.0,True
2,10,0,164.0,782.0,419.0,33.0,21.1,91.55529686393616,0.0,True
3,10,0,144.0,782.0,423.0,37.0,21.4,91.72743042711284,0.0,True
1,90,90,836.0,284.0,13.0,375.0,23.3,78.20900157673162,65.04795108204017,False
2,90,90,840.0,274.0,9.0,389.0,24.6,95.58243461037944,62.13312383421491,False
3,90,90,836.0,460.0,20.0,360.0,26.8,87.45419672219715,57.123731697320345,False
1,0,10,5.0,548.0,654.0,37.0,20.8,91.11873034705856,0.0,True
2,0,10,9.0,538.0,667.0,34.0,20.5,88.61021796470393,0.0,True
3,0,10,10.0,495.0,706.0,35.0,21.6,89.95516068774026,0.0,True
1,40,70,235.0,709.0,493.0,48.0,23.6,93.7465940706539,0.0,True
2,40,70,364.0,735.0,467.0,45.0,26.2,95.55848219574884,0.0,True
3,40,70,215.0,702.0,501.0,45.0,24.7,94.47206663159528,0.0,True
1,70,10,837.0,217.0,6.0,476.0,22.4,76.26009993384629,90.3811045959486,False
2,70,10,837.0,464.0,21.0,437.0,36.0,92.15101999183112,96.95912535237532,False
3,70,10,838.0,539.0,37.0,443.0,30.4,87.64475365005633,97.43097791081144,False
1,40,100,295.0,669.0,534.0,46.0,25.1,94.22641094261132,0.0,True
2,40,100,154.0,633.0,569.0,47.0,23.2,94.16264771527968,0.0,True
3,40,100,279.0,692.0,510.0,48.0,25.2,95.43048476448656,0.0,True
1,50,100,443.0,722.0,482.0,46.0,27.8,96.92279787466028,0.0,True
2,50,100,317.0,725.0,476.0,49.0,25.1,97.3313106070879,0.0,True
3,50,100,356.0,728.0,473.0,47.0,25.8,96.66031295494872,0.0,True
1,40,60,305.0,742.0,460.0,46.0,25.5,94.82493305012882,0.0,True
2,40,60,275.0,787.0,414.0,48.0,26.8,97.4061513647438,0.0,True
3,40,60,383.0,787.0,416.0,43.0,26.9,96.08359565484074,0.0,True
1,90,80,838.0,336.0,11.0,325.0,24.5,82.50859249750872,70.5331538908493,False
